DATE;MAC;RSSI;VENDOR;CATEGORIE
9.1.2018 8:23;00:35:66:06:0D:59;-86;Unknown;Handsfree
9.1.2018 8:23;00:35:66:06:0D:59;-87;Unknown;Handsfree
9.1.2018 8:23;38:C0:96:74:54:5A;-91;ALPS ELECTRIC CO.,LTD.;Handsfree
9.1.2018 8:24;00:35:66:06:0D:59;-87;Unknown;Handsfree
9.1.2018 8:24;AC:7A:4D:46:24:6C;-84;ALPS ELECTRIC CO.,LTD.;Handsfree
9.1.2018 8:24;00:35:66:06:0D:59;-89;Unknown;Handsfree
9.1.2018 8:25;00:35:66:06:0D:59;-85;Unknown;Handsfree
9.1.2018 8:26;00:12:6F:23:13:75;-90;Rayson Technology Co., Ltd.;Uncategorized
9.1.2018 8:26;00:35:66:06:0D:59;-87;Unknown;Handsfree
9.1.2018 8:27;40:EF:4C:42:38:C1;-66;Fihonest communication co.,Ltd;Handsfree
9.1.2018 8:28;00:35:66:06:0D:59;-86;Unknown;Handsfree
9.1.2018 8:28;28:A1:83:1D:36:A3;-89;Unknown;Handsfree
9.1.2018 8:29;00:35:66:06:0D:59;-86;Unknown;Handsfree
9.1.2018 8:29;00:35:66:06:0D:59;-83;Unknown;Handsfree
9.1.2018 8:30;00:35:66:06:0D:59;-84;Unknown;Handsfree
9.1.2018 8:31;00:35:66:06:0D:59;-89;Unknown;Handsfree
9.1.2018 8:31;00:35:66:06:0D:59;-88;Unknown;Handsfree
9.1.2018 8:31;00:35:66:06:0D:59;-89;Unknown;Handsfree
9.1.2018 8:32;00:35:66:06:0D:59;-89;Unknown;Handsfree
9.1.2018 8:32;00:35:66:06:0D:59;-89;Unknown;Handsfree
9.1.2018 8:34;00:35:66:06:0D:59;-87;Unknown;Handsfree
9.1.2018 8:34;00:35:66:06:0D:59;-84;Unknown;Handsfree
9.1.2018 8:35;00:35:66:06:0D:59;-89;Unknown;Handsfree
9.1.2018 8:36;00:35:66:06:0D:59;-88;Unknown;Handsfree
9.1.2018 8:36;84:55:A5:1F:DF:E9;-89;Samsung Elec Co.,Ltd;Smartphone
9.1.2018 8:37;00:35:66:06:0D:59;-87;Unknown;Handsfree
9.1.2018 8:37;00:35:66:06:0D:59;-88;Unknown;Handsfree
9.1.2018 8:38;00:23:D6:19:F1:BF;-86;Samsung Electronics Co.,LTD;Smartphone
9.1.2018 8:38;84:55:A5:1F:DF:E9;-84;Samsung Elec Co.,Ltd;Smartphone
9.1.2018 8:39;84:55:A5:1F:DF:E9;-73;Samsung Elec Co.,Ltd;Smartphone
9.1.2018 8:39;00:35:66:06:0D:59;-88;Unknown;Handsfree
9.1.2018 8:40;00:35:66:06:0D:59;-86;Unknown;Handsfree
9.1.2018 8:40;94:51:03:11:DD:50;-87;Samsung Electronics;Smartphone
9.1.2018 8:41;00:35:66:06:0D:59;-89;Unknown;Handsfree
9.1.2018 8:41;00:35:66:06:0D:59;-89;Unknown;Handsfree
9.1.2018 8:42;00:35:66:06:0D:59;-87;Unknown;Handsfree
9.1.2018 8:42;E0:2C:B2:2C:B2:F9;-71;Lenovo Mobile Communication (Wuhan) Company Limited;Smartphone
9.1.2018 8:42;00:35:66:06:0D:59;-86;Unknown;Handsfree
9.1.2018 8:42;E0:2C:B2:2C:B2:F9;-81;Lenovo Mobile Communication (Wuhan) Company Limited;Smartphone
9.1.2018 8:43;00:35:66:06:0D:59;-85;Unknown;Handsfree
9.1.2018 8:43;00:35:66:06:0D:59;-91;Unknown;Handsfree
9.1.2018 8:44;00:35:66:06:0D:59;-87;Unknown;Handsfree
9.1.2018 8:44;78:02:F8:7C:0C:E0;-81;Unknown;Smartphone
9.1.2018 8:44;00:35:66:06:0D:59;-87;Unknown;Handsfree
9.1.2018 8:44;9C:E0:63:DA:C8:6C;-85;Unknown;Wereable
9.1.2018 8:45;00:35:66:06:0D:59;-86;Unknown;Handsfree
9.1.2018 8:45;00:26:7E:4C:A5:88;-88;Parrot SA;Handsfree
9.1.2018 8:46;00:12:1C:E1:EF:FF;-80;PARROT S.A.;Handsfree
9.1.2018 8:46;00:35:66:06:0D:59;-89;Unknown;Handsfree
9.1.2018 8:46;00:35:66:06:0D:59;-88;Unknown;Handsfree
9.1.2018 8:47;00:35:66:06:0D:59;-89;Unknown;Handsfree
9.1.2018 8:47;00:35:66:06:0D:59;-89;Unknown;Handsfree
9.1.2018 8:48;00:35:66:06:0D:59;-89;Unknown;Handsfree
9.1.2018 8:48;C0:38:F9:B5:FD:3E;-87;Nokia Danmark A/S;Smartphone
9.1.2018 8:48;00:35:66:06:0D:59;-86;Unknown;Handsfree
9.1.2018 8:49;00:35:66:06:0D:59;-88;Unknown;Handsfree
9.1.2018 8:49;00:35:66:06:0D:59;-86;Unknown;Handsfree
9.1.2018 8:50;00:35:66:06:0D:59;-85;Unknown;Handsfree
9.1.2018 8:50;C0:38:F9:B5:FD:3E;-89;Nokia Danmark A/S;Smartphone
9.1.2018 8:50;00:35:66:06:0D:59;-87;Unknown;Handsfree
9.1.2018 8:51;00:35:66:06:0D:59;-86;Unknown;Handsfree
9.1.2018 8:51;C0:38:F9:B5:FD:3E;-87;Nokia Danmark A/S;Smartphone
9.1.2018 8:52;00:35:66:06:0D:59;-84;Unknown;Handsfree
9.1.2018 8:52;C0:38:F9:B5:FD:3E;-84;Nokia Danmark A/S;Smartphone
9.1.2018 8:52;00:35:66:06:0D:59;-83;Unknown;Handsfree
9.1.2018 8:53;00:35:66:06:0D:59;-86;Unknown;Handsfree
9.1.2018 8:53;00:35:66:06:0D:59;-86;Unknown;Handsfree
9.1.2018 8:54;EC:D0:9F:1D:61:59;-88;Unknown;Smartphone
9.1.2018 8:54;00:35:66:06:0D:59;-90;Unknown;Handsfree
9.1.2018 8:56;DC:9F:A4:DB:03:EB;-86;Nokia Corporation;Smartphone
9.1.2018 8:56;00:35:66:06:0D:59;-86;Unknown;Handsfree
9.1.2018 8:56;44:6E:E5:24:3A:E5;-85;Unknown;Smartphone
9.1.2018 8:56;C0:11:73:AE:A5:18;-88;Unknown;Smartphone
9.1.2018 8:56;DC:9F:A4:DB:03:EB;-84;Nokia Corporation;Smartphone
9.1.2018 8:56;DC:9F:A4:DB:03:EB;-88;Nokia Corporation;Smartphone
9.1.2018 8:57;44:6E:E5:24:3A:E5;-86;Unknown;Smartphone
9.1.2018 8:57;DC:9F:A4:DB:03:EB;-84;Nokia Corporation;Smartphone
9.1.2018 8:57;00:35:66:06:0D:59;-89;Unknown;Handsfree
9.1.2018 8:57;44:6E:E5:24:3A:E5;-79;Unknown;Smartphone
9.1.2018 8:57;DC:9F:A4:DB:03:EB;-89;Nokia Corporation;Smartphone
9.1.2018 8:58;00:35:66:06:0D:59;-86;Unknown;Handsfree
9.1.2018 8:58;44:6E:E5:24:3A:E5;-73;Unknown;Smartphone
9.1.2018 8:58;F4:CB:52:6F:C5:C5;-80;Unknown;Smartphone
9.1.2018 8:58;00:35:66:06:0D:59;-87;Unknown;Handsfree
9.1.2018 8:59;00:35:66:06:0D:59;-89;Unknown;Handsfree
9.1.2018 8:59;DC:9F:A4:DB:03:EB;-84;Nokia Corporation;Smartphone
9.1.2018 9:00;00:35:66:06:0D:59;-88;Unknown;Handsfree
9.1.2018 9:00;C0:38:F9:B5:FD:3E;-84;Nokia Danmark A/S;Smartphone
9.1.2018 9:00;00:35:66:06:0D:59;-87;Unknown;Handsfree
9.1.2018 9:00;30:C3:D9:42:69:2B;-84;Unknown;Handsfree
9.1.2018 9:00;DC:9F:A4:DB:03:EB;-84;Nokia Corporation;Smartphone
9.1.2018 9:00;C0:38:F9:B5:FD:3E;-88;Nokia Danmark A/S;Smartphone
9.1.2018 9:00;DC:9F:A4:DB:03:EB;-85;Nokia Corporation;Smartphone
